Serial Number,Artist,Song Name,Year,Spotify URL
SN-054,Nancy Sinatra,These Boots Are Made For Walkin',1966,https://open.spotify.com/track/2nwCO1PqpvyoFIvq3Vrj8N
SN-055,Nancy Sinatra,Bang Bang - My Baby Shot Me Down,2003,https://open.spotify.com/track/1s2I9Q7zAE78m7aVZOq3ug
SN-056,Markus Schulz,Code 10-66,2016,https://open.spotify.com/track/01aqRk7ZaH7hnzDgXAQ3ca
SN-057,M83,Midnight City,2011,https://open.spotify.com/track/29U1azNyQN2vSqIquF9srD
SN-058,John Legend,Start A Fire,2016,https://open.spotify.com/track/3gGHAScxUDsJqcAM6ZvjuH
SN-059,Rudimental,Feel the Love (feat. John Newman),2013,https://open.spotify.com/track/0BomfsUcw03fQPKK668Etn
SN-060,Rag'n'Bone Man,Human,2016,https://open.spotify.com/track/3erAiWBiKsbVG39cqCrsI0
SN-061,Sia,The Greatest (feat. Kendrick Lamar),2016,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO
SN-062,Sia,Chandelier,2014,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
SN-063,Lorde,Royals,2013,https://open.spotify.com/track/3yvZ1VUso9Xi7EvIyLaj4o
SN-064,Lorde,Team,2013,https://open.spotify.com/track/5KcYtdjhsQrNNMjJOSAUEz
SN-065,Lorde,Glory And Gore,2013,https://open.spotify.com/track/0zzb8c6v6fIFwSoKT2ZV7A
SN-066,Lorde,Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,2013,https://open.spotify.com/track/6vH82EO79HolBobpt6eMS9
SN-067,Sia,The Greatest,2016,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1
SN-068,Sia,Cheap Thrills,2016,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
SN-069,Amon Tobin,Easy Muffin,1997,https://open.spotify.com/track/5zYgFOCkYxPbfzq0PYoUR6
SN-070,Michael Jackson,Thriller,2009,https://open.spotify.com/track/1D9KEXIrlmPUkMTdYzqgX4
SN-071,Michael Jackson,Thriller - Immortal Version,2011,https://open.spotify.com/track/4V79uSLjxBSe1heEA2vWHO
SN-072,Michael Jackson,Thriller,2008,https://open.spotify.com/track/3S2R0EVwBSAVMd5UMgKTL0
SN-073,Tori Amos,Cruel,1998,https://open.spotify.com/track/2UB4JGYR6TPMerbgrkr82Q
SN-074,Tori Amos,Iieee,1998,https://open.spotify.com/track/5mYjL1KmNh5c1vuuCATFFu
SN-075,Tori Amos,She's Your Cocaine,1998,https://open.spotify.com/track/5gKwSPpDOxoOFA2KALMF4Y
SN-076,Tori Amos,Cornflake Girl,1994,https://open.spotify.com/track/1300POeOaj8qho30FRHjgf
SN-077,Phoebe Bridgers,Motion Sickness,2017,https://open.spotify.com/track/4jKuJqfWmoMEfY2bk5gOeW
SN-078,Monkey3,Icarus,2013,https://open.spotify.com/track/1Gk6Kr4etCeVxrCvy8zxXS
SN-079,Johnny Cash,Hurt,2002,https://open.spotify.com/track/1med9ijNdCwxnyS8vBpfhR
SN-080,Bob Dylan,The Times They Are A-Changin',1964,https://open.spotify.com/track/52vA3CYKZqZVdQnzRrdZt6
SN-081,Phantogram,You're Mine,2016,https://open.spotify.com/track/2OFqJdH62kdICQqtFgIVKy
SN-082,Fatboy Slim,Praise You - Radio Edit,2006,https://open.spotify.com/track/2tn9zXqIZJbgL1swqwOktz
SN-083,Aloe Blacc,I Need A Dollar,2010,https://open.spotify.com/track/25R6UFrB9DKhEWkNhOLe5u
SN-084,Natasha Bedingfield,These Words,2004,https://open.spotify.com/track/6QLU1GKy2Zh2mOh2uoJ0TV
SN-085,Eurythmics,Sweet Dreams (Are Made of This) - 2005 Remaster,1983,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS
SN-086,The Smashing Pumpkins,1979,1995,https://open.spotify.com/track/5KRRcT67VNIZUygEbMoIC1
SN-087,Pretty Lights,I Can See It In Your Face,2010,https://open.spotify.com/track/5A37UCV7aPjhp1RSocVBfc
SN-088,Pretty Lights,Hot Like Sauce,2008,https://open.spotify.com/track/7zbq8RT5Kd3ExOGVTiUQbR
