Serial Number,Artist,Song Name,Year,Spotify URL
Card-054,Nancy Sinatra,These Boots Are Made For Walkin',1966,https://open.spotify.com/track/2nwCO1PqpvyoFIvq3Vrj8N
Card-055,Nancy Sinatra,Bang Bang - My Baby Shot Me Down,2003,https://open.spotify.com/track/1s2I9Q7zAE78m7aVZOq3ug
Card-056,Markus Schulz,Code 10-66,2016,https://open.spotify.com/track/01aqRk7ZaH7hnzDgXAQ3ca
Card-057,M83,Midnight City,2011,https://open.spotify.com/track/29U1azNyQN2vSqIquF9srD
Card-058,John Legend,Start A Fire,2016,https://open.spotify.com/track/3gGHAScxUDsJqcAM6ZvjuH
Card-059,Rudimental,Feel the Love (feat. John Newman),2013,https://open.spotify.com/track/0BomfsUcw03fQPKK668Etn
Card-060,Rag'n'Bone Man,Human,2016,https://open.spotify.com/track/3erAiWBiKsbVG39cqCrsI0
Card-061,Sia,The Greatest (feat. Kendrick Lamar),2016,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO
Card-062,Sia,Chandelier,2014,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
Card-063,Lorde,Royals,2013,https://open.spotify.com/track/3yvZ1VUso9Xi7EvIyLaj4o
Card-064,Lorde,Team,2013,https://open.spotify.com/track/5KcYtdjhsQrNNMjJOSAUEz
Card-065,Lorde,Glory And Gore,2013,https://open.spotify.com/track/0zzb8c6v6fIFwSoKT2ZV7A
Card-066,Lorde,Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,2013,https://open.spotify.com/track/6vH82EO79HolBobpt6eMS9
Card-067,Sia,The Greatest,2016,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1
Card-068,Sia,Cheap Thrills,2016,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
Card-069,Amon Tobin,Easy Muffin,1997,https://open.spotify.com/track/5zYgFOCkYxPbfzq0PYoUR6
Card-070,Michael Jackson,Thriller,2009,https://open.spotify.com/track/1D9KEXIrlmPUkMTdYzqgX4
Card-071,Michael Jackson,Thriller - Immortal Version,2011,https://open.spotify.com/track/4V79uSLjxBSe1heEA2vWHO
Card-072,Michael Jackson,Thriller,2008,https://open.spotify.com/track/3S2R0EVwBSAVMd5UMgKTL0
Card-073,Tori Amos,Cruel,1998,https://open.spotify.com/track/2UB4JGYR6TPMerbgrkr82Q
Card-074,Tori Amos,Iieee,1998,https://open.spotify.com/track/5mYjL1KmNh5c1vuuCATFFu
Card-075,Tori Amos,She's Your Cocaine,1998,https://open.spotify.com/track/5gKwSPpDOxoOFA2KALMF4Y
Card-076,Tori Amos,Cornflake Girl,1994,https://open.spotify.com/track/1300POeOaj8qho30FRHjgf
Card-077,Phoebe Bridgers,Motion Sickness,2017,https://open.spotify.com/track/4jKuJqfWmoMEfY2bk5gOeW
